OccurrencePrecinctCode,latitude,longitude,Injury_or_Fatal,desc,CollisionID,CollisionKey,Collision_ at_Intersection,IntersectionAddress,IntersectingStreet,CrossStreet,CollisionVehicleCount,CollisionInjuredCount,CollisionKilledCount,Vehicles_or_MotoristsInvolved,PersonsInjured,PersonsKilled,MotoristsInjured,MotoristsKilled,PassengInjured,PassengKilled,CyclistsInjured,CyclistsKilled,PedestrInjured,PedestrKilled,Bicycle,Int,Magnitude
10,39.1788101,-96.5618362,0,"Manhattan, KS",2.02E+12,147713951,1,JOE DIMAGGIO HIGHWAY&&TIANANMEN SQUARE,JOE DIMAGGIO HIGHWAY,TIANANMEN SQUARE,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,"JOE DIMAGGIO HIGHWAY & TIANANMEN SQUARE, Manhattan",1
10,39.1788101,-96.5618362,0,"Manhattan, KS",2.02E+12,148026239,2,JOE DIMAGGIO HIGHWAY&&TIANANMEN SQUARE,JOE DIMAGGIO HIGHWAY,TIANANMEN SQUARE,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,"JOE DIMAGGIO HIGHWAY & TIANANMEN SQUARE, Manhattan",1
10,39.1788101,-96.5618362,0,"Manhattan, KS",2.02E+12,148147661,3,JOE DIMAGGIO HIGHWAY&&TIANANMEN SQUARE,JOE DIMAGGIO HIGHWAY,TIANANMEN SQUARE,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,"JOE DIMAGGIO HIGHWAY & TIANANMEN SQUARE, Manhattan",1
10,39.1788101,-96.5618362,1,"Manhattan, KS",2.02E+12,147903029,1,LINCOLN TUNNEL APPROACH&&WEST 31 STREET,LINCOLN TUNNEL APPROACH,WEST 31 STREET,2,1,0,2,1,0,0,0,0,0,1,0,0,0,1,"LINCOLN TUNNEL APPROACH & WEST 31 STREET, Manhattan",1
10,39.1788101,-96.5618362,0,"Manhattan, KS",2.02E+12,148114884,2,LINCOLN TUNNEL APPROACH&&WEST 31 STREET,LINCOLN TUNNEL APPROACH,WEST 31 STREET,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,"LINCOLN TUNNEL APPROACH & WEST 31 STREET, Manhattan",1
10,39.1788101,-96.5618362,0,"Manhattan, KS",2.02E+12,147765880,1,LINCOLN TUNNEL APPROACH&&WEST 34 STREET,LINCOLN TUNNEL APPROACH,WEST 34 STREET,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,"LINCOLN TUNNEL APPROACH & WEST 34 STREET, Manhattan",1
10,39.1788101,-96.5618362,0,"Manhattan, KS",2.02E+12,147870139,2,LINCOLN TUNNEL APPROACH&&WEST 34 STREET,LINCOLN TUNNEL APPROACH,WEST 34 STREET,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,"LINCOLN TUNNEL APPROACH & WEST 34 STREET, Manhattan",1
10,39.1788101,-96.5618362,0,"Manhattan, KS",2.02E+12,147903025,1,LINCOLN TUNNEL APPROACH&&WEST 35 STREET,LINCOLN TUNNEL APPROACH,WEST 35 STREET,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,"LINCOLN TUNNEL APPROACH & WEST 35 STREET, Manhattan",1
10,39.1788101,-96.5618362,0,"Manhattan, KS",2.02E+12,147516794,1,LINCOLN TUNNEL APPROACH&&WEST 36 STREET,LINCOLN TUNNEL APPROACH,WEST 36 STREET,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,"LINCOLN TUNNEL APPROACH & WEST 36 STREET, Manhattan",1
10,39.1788101,-96.5618362,0,"Manhattan, KS",2.02E+12,147870142,2,LINCOLN TUNNEL APPROACH&&WEST 36 STREET,LINCOLN TUNNEL APPROACH,WEST 36 STREET,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,"LINCOLN TUNNEL APPROACH & WEST 36 STREET, Manhattan",1
